Num,Country,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,S
10,Hungary,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,1
22,Poland,-0.05,0.58,-0.03,0.85,0.02,0,0.71,0.14,0.42,-0.01,-0.02,-0.02,-0.04,-0.01,1.71,-0.01,-0.02,-0.01,-0.35,0.39,-0.09,-2.3,-0.03,6.3,3.77,-0.01,0.81,0.25,0,0.14,0.33,0.82,0,0.3,-0.04,-2.32,0.73,-0.03,-0.21,0.27,0.18,0.49,0.96,-56247.34,-0.12,0.96,6.58,1.85,0.79,0.17,-0.34,-10232312,0,0,0,0,0,0,0,0,0,m,m,m,m,0,0,0,0,0,0,1.09,1.07,1.01,0.97,-1.29,-1.1,1.07,1.04,1.02,-1,1,1
27,Hungary,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,1
73,Poland,0,0.71,0.08,1.13,0.11,0.01,0.42,0.54,0.29,0.01,0.02,0.03,-0.91,0.02,1.42,0.01,0.02,0.01,0,0.19,0.01,-9.82,0.25,5.15,1.21,0.03,-0.02,-0.01,0,0,6.4,0.39,0,0.12,0.02,0.05,1.05,0.02,0.03,0.97,0.61,0.92,1.23,11102.07,0.01,0.34,11.31,0.97,0.9,1.7,-1.85,0.1,0.26,0.02,0.04,0.03,0.24,0.04,2.67,0.04,2.38,m,m,m,m,0,0,0,0,0,0,1.27,-0.02,1,1.01,2,0.7,0.75,1.01,0.98,-1.06,-1.99,1
74,Poland,-0.07,1.1,-0.43,0.27,-0.05,-0.03,-0.07,0.25,-0.08,-0.05,-0.05,-0.03,-0.1,-0.01,0.91,-0.05,-0.12,-0.05,-0.28,-0.03,-0.05,-2.24,-0.52,5.36,4.27,0.62,0.82,0.44,0,0.44,0.31,0.42,0,0.04,-0.2,-24.65,0.27,-0.03,-0.11,0.15,0.59,-0.1,0.51,-100172.41,0.88,-6.23,86.97,1.84,0.42,0.3,-0.98,-1.61,0.49,0.04,0.18,0.04,0.09,0.07,-1.36,0.28,-0.88,m,m,m,m,0,0,0,0,0,0,1.05,1.95,0.54,0.44,-2.19,-15.16,0.73,0.84,0.79,-392.6,-8.28,1
100,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,Poland,0.03,0.63,0.18,1.32,0.08,0.04,0.6,0.94,0.37,0.04,0.06,0.04,0.04,0.07,1.6,0.05,0.04,0.03,0.03,0.3,0.05,-23.11,0.71,4.31,0.67,0.09,1.61,1.45,0.94,0.94,9.76,0.44,1,0.24,0.04,0.21,1.09,0.04,0.04,1.19,0.56,1.46,1.71,3674,0.07,0.17,7.28,1.95,1.67,3.67,0.06,0.51,0.11,0.05,0.06,0.08,0.84,0.09,-1.7,0.07,1.57,0,0,0,0,1023.07,10774.22,9709.88,11341.73,382.05,1494.84,1.18,1.2,1.02,1.02,0.85,0.9,1.96,0.97,0.97,-1.35,1.33,1
142,'Czech Republic',0,0.19,0.13,2.88,0.44,0,4.14,0,0.77,0,0,m,m,0,5.37,0,m,0,m,0.33,0,m,0.17,5.41,m,0,0,0,0,0,1.56,0.89,m,0.85,m,0,2.57,0,m,1.09,0.07,0.97,1.11,34141,0,0.15,0,0,0,0,m,m,m,0,m,0,0,0,m,0,m,m,m,m,m,0,m,m,m,0,0,m,m,m,m,m,m,m,m,m,m,m,1
175,Poland,0.01,0.52,0.05,1.14,0.05,0.01,0.92,0.46,0.48,0.03,0.03,0.03,0.06,0.02,1.92,0.05,0.03,0.03,0.02,0.43,0.02,-1.78,0.08,4.4,1.12,0.06,1.27,0.86,0.46,0.47,1.8,0.65,1,0.12,0.06,0.11,0.87,0.05,0.11,0.77,0.35,0.8,1.08,1209,0.02,0.35,4.9,1.78,1.33,0.77,-0.1,m,m,0,0,0,0,0,m,0,0,0,0,0,0,711.27,28427.23,6789.86,12464.95,341.42,568.24,0.99,1,0.99,0.97,0.93,0.52,0.97,0.92,1.19,m,m,1
217,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
