Num,Country,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,S
10,Hungary,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,0,m,m,0,0,0,m,m,1
22,Poland,0.01,0.53,0.01,1.07,0.08,0.01,0.89,0.17,0.47,0.01,0.08,0.08,0.07,0.03,1.89,0.02,0.08,0.01,0.04,0.38,0.01,4.62,0.02,6.29,2.77,0.02,0.86,0.3,0,0.17,0.5,0.82,0,0.41,0.07,0.33,0.95,-0.01,-0.07,0.37,0.18,0.58,1.02,26300.01,0.02,0.74,7.82,1.7,0.92,0.21,-0.05,-1401699,0,0,0,0,0,0,0,0,0,0,0.01,0,0,592.65,19582.85,-24438.1,23819.41,278.28,346.43,0.93,0.86,1.08,0.9,-30.41,-3.6,0.99,1.07,1,m,0.92,1
27,Hungary,-0.01,0.81,-0.08,0.79,0,0,0.23,0.24,0.19,0,-0.01,m,-0.01,m,1.23,0,-0.02,0,-0.02,0.19,m,2.89,-0.12,5.94,3.14,-0.02,0.64,0.3,0,0.24,0.69,0.62,0,0.34,-0.01,-1.08,0.77,0.02,0.08,0.37,0.38,0.27,0.88,-69993.71,-0.03,2.32,44.92,1.43,0.63,0.34,m,m,m,m,m,m,m,m,m,m,m,0,0.01,0,0,674.01,-27241.26,6191.2,-36670.95,125.35,179.45,0.98,11.86,1.04,0.99,0.17,0.24,0.92,1.09,1.02,m,m,1
73,Poland,0,0.73,0,1,0.09,0,0.37,0.37,0.27,0,0,0.01,0,0.01,1.37,0,0,0,0,0.18,0.01,1.79,0.01,5.15,1.93,-0.01,0.57,0.5,0,0.37,6.83,0.35,0,0.04,0,-0.02,0.86,0,0,0.89,0.65,0.77,1.01,255.44,-0.01,0.3,3.91,0.69,0.56,1.04,-0.25,0.01,-0.04,-0.15,-0.4,-0.2,-1.8,-0.23,1.16,-0.23,106.07,0,0,0,0,617.54,-132029.48,-120582.54,-120582.54,166.75,477.05,0.69,2.35,0.84,0.77,0.01,0.01,1.01,0.9,0.77,-0.52,-1.06,1
74,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,Poland,0.01,0.69,0.16,1.24,0.06,0.02,0.45,0.87,0.31,0.02,0.03,0.02,0.02,0.03,1.45,0.02,0.02,0.02,0.02,0.26,0.02,-10.72,0.81,4.29,0.79,0.05,1.31,1.24,0.87,0.87,19.63,0.35,1,0.33,0.02,0.7,1.21,0,0,1.17,0.65,1.6,1.81,3073,0.04,0.13,44.18,1.52,1.34,4.46,0.16,-2.41,0,-0.01,-0.01,-0.01,-0.14,-0.01,-0.16,-0.01,-0.34,0,0,0,0,1099.15,19644.05,m,20551.89,342.44,1761.04,1.01,1,1.06,1.1,1.23,0.68,0.56,1.11,1.14,-0.16,10.44,1
142,'Czech Republic',m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,0,m,m,0,0,0,m,m,1
175,Poland,0.02,0.56,0.1,1.26,0.04,0.02,0.78,0.44,0.44,0.02,0.05,0.05,0.05,0.04,1.78,0.04,0.05,0.02,0.04,0.39,0.03,-9.85,0.19,4.39,1.28,0.05,1.14,0.76,0.44,0.45,1.9,0.62,1,0.08,0.05,0.14,0.94,0.04,0.09,0.84,0.38,0.83,1.19,2416,0.04,0.42,3.62,1.35,1.16,0.83,-0.06,3.94,0,0,0.01,0.01,0.02,0.01,-1.14,0.01,0.2,0,0,0,0,970.32,20698.37,10259.21,20037.22,424.52,807.58,0.99,0.94,1.06,1.11,4.69,-548.99,1.14,1.12,1.09,m,m,1
217,Poland,0,0.61,0.16,1.66,0.02,0,0.65,0.2,0.39,0.01,0,0.12,0.02,0.04,1.65,0.01,0,0,0,0.38,0.04,-0.97,0.26,4.87,2.3,0.01,0.82,0.32,0,0.2,1.06,0.76,0,0.76,0.02,0,1.64,0,0.02,0.65,0.24,0.65,1.25,11660.36,0,0.94,39.19,0.94,0.83,0.32,0.85,0,2.65,0.01,0.04,0.01,0.02,0.03,-0.53,0.02,1.74,0,0,0,0,718.22,358701.26,59512.72,59512.72,282.39,464.3,0.9,0.93,1.13,1.03,0.36,0,7.99,1.07,1.29,0.3,6.23,1
