Num,Country,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,S
10,Hungary,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,1
22,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,Hungary,-0.01,0.83,-0.08,0.83,0,0,0.21,0.28,0.17,-0.01,-0.01,-0.01,-0.11,0,1.21,0,-0.01,0,-0.02,0.17,-0.01,-0.13,-0.12,5.83,2.67,-0.01,0,0,0,0,0.89,0.57,0,0.38,0,-1.11,0.81,0.03,0.09,0.43,0.43,0.27,0.88,-51339.66,-0.04,2.32,44.48,1.49,0.64,0.43,-32.2,m,m,0,0,0,0,0,m,0,0,m,m,m,m,0,0,0,0,0,0,1.01,0.38,0.9,1.04,0.38,0.78,0.96,0.97,1.08,m,m,1
73,Poland,0,0.73,0.04,1.06,0.1,0,0.37,0.45,0.27,0,0,0.01,-0.5,0.01,1.37,0,0,0,0,0.18,0.01,-1.01,0.12,5.16,1.48,0,0,0,0,0,6.41,0.37,0,0.1,0,-0.01,0.97,0.01,0.02,0.92,0.63,0.83,1.12,5641.04,0,0.35,8.29,0.82,0.72,1.38,2.54,-0.01,0.11,0.05,0.12,0.07,0.56,0.09,1.26,0.08,40.6,m,m,m,m,0,0,0,0,0,0,0.99,0,1,1,0.17,-0.06,1,1.02,1,7.28,-2.03,1
74,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,Poland,-0.01,0.58,0.14,1.25,0.07,-0.02,0.72,0.87,0.42,-0.01,-0.03,-0.02,-0.02,-0.03,1.72,-0.03,-0.02,-0.02,-0.02,0.35,-0.02,6.8,0.42,4.19,0.53,-0.04,1.65,1.53,0.87,0.87,15.43,0.46,1,0.24,-0.02,-0.27,1.16,0,0,1.16,0.54,1.29,1.42,2116,-0.03,0.1,17.14,1.75,1.61,2.68,0.1,-17.62,0,0,0,0,0.02,0,-0.01,0,-0.04,0,0,0,0,1554.34,-42387.02,m,-37263.4,652.32,2012.56,0.97,1.02,0.9,0.79,-0.7,-0.8,1.63,0.9,0.79,0.03,33.32,1
142,'Czech Republic',0,0.21,0.05,1.52,0.4,0,3.81,0,0.79,0,0,m,m,0,4.81,0,m,0,m,0.39,0,m,0.06,5.37,m,0,0,0,0,0,0.98,0.91,m,0.69,m,0,1.24,0,m,0.67,0.09,0.92,1.06,11112,0,0.15,0,0,0,0,m,m,m,0,m,0,0,0,m,0,m,m,m,m,m,0,m,m,m,0,0,m,m,m,m,m,m,m,m,m,m,m,1
175,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
217,Poland,0.01,0.58,0.19,1.79,0.04,0.01,0.72,0.22,0.42,0.02,0.06,0.17,0.09,0.06,1.72,0.03,0.07,0.02,0.05,0.38,0.06,-4.25,0.32,4.88,1.73,0.04,0.91,0.37,0,0.23,1.2,0.77,0,0.92,0.08,15.05,1.79,0.11,0.48,0.72,0.23,0.71,1.31,14194.65,0.03,0.83,297.46,1.09,0.94,0.38,0.96,0.22,0.46,0.05,0.23,0.09,0.14,0.21,1.02,0.12,2.78,m,m,m,m,0,0,0,0,0,0,0.9,0.95,1.05,1.08,0.72,0.68,0.16,0.91,1.02,1.85,-13.31,1
