Num,Country,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,S
10,Hungary,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,1
22,Poland,0.01,0.53,-0.01,0.91,0.06,0.02,0.9,0.17,0.47,0.02,0.14,0.15,0.07,0.05,1.9,0.02,0.15,0.01,0.04,0.41,0.01,1.45,-0.02,6.27,3.04,0.02,0.89,0.29,0,0.17,0.38,0.83,0,0.26,0.07,0.31,0.78,-0.11,-0.68,0.3,0.17,0.56,0.98,-27750,0.02,0.75,7.31,1.85,0.96,0.2,-0.27,1317418,0,0,0,0,0,0,0,0,0,0,0.01,0,0,594.98,11727.7,-2491.94,24907.88,281.24,333.84,1,0.94,0.92,0.82,5.4,-9.33,0.96,0.93,0.85,1,1.01,1
27,Hungary,-0.01,0.82,-0.05,0.86,0,-0.01,0.21,0.25,0.18,0,-0.02,-0.02,0.52,-0.01,1.21,0,-0.02,0,-0.03,0.18,-0.01,0.34,-0.07,5.88,3.05,-0.01,0.01,0,0,0,0.66,0.64,0,0.36,-0.01,-1.37,0.84,0.02,0.09,0.38,0.36,0.26,0.93,-38329.2,-0.05,2.62,42.21,1.44,0.69,0.36,-9.43,m,m,0,0,0,0,0,m,0,0,m,m,m,m,0,0,0,0,0,0,0.97,0.3,0.88,0.92,0.3,0.59,0.98,0.93,0.9,m,m,1
73,Poland,0,0.73,0.04,1.06,0.1,0.01,0.37,0.46,0.27,0.01,0.01,0.03,0.02,0.02,1.37,0.01,0.02,0.01,0.01,0.18,0.01,-7.13,0.12,5.16,1.47,0.03,0.74,0.64,0,0.47,6.41,0.37,0,0.12,0.02,0.09,0.97,0.01,0.03,0.92,0.63,0.83,1.12,5641.04,0.02,0.35,8.37,0.84,0.72,1.39,-0.03,0.66,0.78,0.01,0.02,0.01,0.08,0.01,-0.35,0.01,0.93,0,0,0,0,737.6,27929.91,14479.67,25068.1,200.27,609.18,0.89,-77.23,0.93,0.92,1.32,1.34,0.66,0.95,0.88,-0.27,-2.61,1
74,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,Poland,0.02,0.65,0.16,1.26,0.03,0.02,0.54,0.8,0.35,0.02,0.03,0.02,0.03,0.03,1.54,0.03,0.02,0.02,0.02,0.32,0.02,-8.16,0.7,4.24,0.81,0.06,1.28,1.21,0.8,0.8,20.24,0.39,1,0.41,0.03,0.56,1.22,0,0,1.19,0.61,1.54,1.7,2779,0.04,0.1,28.77,1.62,1.31,3.5,0.17,0.6,0,0.03,0.03,0.04,0.7,0.04,-15.54,0.03,1.14,0,0,0,0,1400.35,24801.84,m,21964.07,493.91,2156.81,1,1,1,1,1,1,1,1,1,1,1,1
142,'Czech Republic',m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,1
175,Poland,0,0.6,0.08,1.21,0,0,0.67,0.46,0.4,0.01,0.01,0.01,0.02,0.01,1.67,0.01,0.01,0.01,0.01,0.4,0.01,-2.61,0.14,4.4,1.3,0.02,1.25,0.77,0.46,0.47,1.53,0.63,1,0.13,0.02,0.03,0.96,0.03,0.06,0.74,0.37,0.72,1.14,1939,0.01,0.57,4.96,1.51,1.25,0.83,-0.03,m,m,0,0,0,0,0,m,0,0,0,0,0,0,885.51,82992.11,13928.97,41499.91,355.58,640.44,1.01,1.01,0.95,0.89,4.94,-39.76,0.72,0.91,0.91,m,m,1
217,Poland,0.02,0.59,0.17,1.69,0.03,0.02,0.68,0.26,0.41,0.03,0.09,0.17,0.12,0.08,1.68,0.04,0.08,0.03,0.07,0.38,0.07,-5.21,0.28,4.86,1.72,0.07,0.97,0.4,0,0.26,1.15,0.76,0,0.7,0.1,3.49,1.67,-0.02,-0.07,0.69,0.24,0.68,1.28,12195.75,0.04,0.87,52.38,1.1,1.07,0.44,0.75,0.6,0.81,0.03,0.11,0.05,0.08,0.12,-7.34,0.07,1.08,0,0,0,0,556.46,10323.73,-11672.63,8511.94,225.82,380.04,1.07,1.04,0.92,0.93,1.3,1.24,0.47,0.94,0.86,1.63,-4.86,1
