Num,Country,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,S
10,Hungary,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,1
22,Poland,0.02,0.47,0.07,1.37,0.09,0.02,1.13,0.2,0.53,0.02,0.11,0.1,0.12,0.04,2.13,0.05,0.1,0.02,0.08,0.44,0.03,-10.95,0.09,6.26,2.13,0.04,0.97,0.38,0,0.2,0.79,0.82,0,0.6,0.11,0.68,1.24,0.04,0.21,0.53,0.18,0.71,1.09,122628.28,0.03,0.54,8.63,1.72,1.1,0.27,0.25,m,m,0,0,0,0,0,0,0,0,0,0.01,0.01,0,610.76,15993.91,7705.8,14983.32,323.45,431.93,1.02,0.94,1.02,1.01,1.97,1.9,1.02,1.06,1.03,m,0.96,1
27,Hungary,0,0.78,0.01,1.02,0,0,0.29,0.25,0.22,0,0,0,-0.29,0,1.29,0,0,0,-0.02,0.22,-0.01,-0.42,0.01,5.93,2.84,0,0,0,0,0,0.71,0.68,0,0.46,0,-0.76,1.01,0.02,0.09,0.42,0.32,0.33,1.01,6482.53,-0.02,2.02,46.95,1.41,0.77,0.37,5.28,m,m,0,0,0,0,0,m,0,0,m,m,m,m,0,0,0,0,0,0,0.96,0.07,1.02,1.02,0.07,14.62,1.05,1,0.96,m,m,1
73,Poland,0,0.61,0.15,1.27,0.21,0,0.63,0.43,0.39,0,0,0.01,0,0.01,1.63,0,0,0,0,0.18,0.01,-0.18,0.48,5.17,1.32,0,0.78,0.7,0,0.43,9.07,0.45,0,0.69,0,0.02,1.11,0.01,0.01,1.13,0.55,1.26,1.48,21918.16,0,0.17,4.97,1.87,0.79,1.42,0.14,0.05,0.19,0.03,0.06,0.04,0.4,0.05,0.93,0.04,248.95,0,0,0,0,600.46,190278.85,44240.41,2176756.43,231.52,757.94,1.19,-57.83,1.17,1.26,0.01,0.23,1.1,0.51,1.31,-0.59,-0.71,1
74,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,Poland,0.01,0.7,0.2,1.32,0.01,0.02,0.43,0.83,0.3,0.02,0.04,0.03,0.03,0.03,1.43,0.03,0.03,0.02,0.01,0.29,0.01,-15.23,1.02,4.29,0.85,0.07,1.31,1.15,0.83,0.83,8.77,0.39,1,0.32,0.03,0.2,1.25,0,0,1.15,0.61,1.56,2.02,3794,0.03,0.29,20,1.44,1.35,4.31,0.19,0.09,0,0.1,0.12,0.14,1.09,0.16,1.31,0.12,4.52,0,0,0,0,1174.76,16207.94,m,16608.38,351.98,1836.97,1.14,1.13,1.14,1.16,1.59,0.68,2.53,1.03,1.14,1.38,2.15,1
142,'Czech Republic',m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,1
175,Poland,0.02,0.53,0.14,1.45,0.03,0.02,0.89,0.47,0.47,0.02,0.06,0.04,0.05,0.04,1.89,0.04,0.04,0.02,0.04,0.44,0.03,-6.22,0.25,4.37,1.14,0.05,1.51,0.88,0.47,0.49,1.55,0.69,1,0.08,0.05,0.17,1.12,0.04,0.09,0.84,0.31,0.85,1.25,3204,0.04,0.47,4.58,1.46,1.51,0.84,0.08,0.43,0,0.04,0.08,0.07,0.18,0.13,5.02,0.09,1.77,0,0,0,0,770.68,19321.01,8263.8,16283.19,362.09,653.23,0.99,0.99,1.01,0.96,1.62,3.29,0.83,0.98,0.84,1.27,-29.23,1
217,Poland,0.02,0.57,0.22,1.93,0.01,0.02,0.77,0.26,0.43,0.02,0.1,0.13,0.1,0.06,1.77,0.04,0.09,0.02,0.07,0.42,0.05,-15.44,0.39,4.84,1.45,0.06,1.03,0.42,0,0.26,1.33,0.77,0,0.88,0.09,8.1,1.92,0.06,0.22,0.79,0.23,0.79,1.39,14905.87,0.04,0.77,117.96,1.07,1.12,0.47,0.94,-1.68,-1.09,-0.01,-0.04,-0.02,-0.03,-0.05,-0.14,-0.02,-0.44,0,0,0,0,595.4,11389.32,4459.11,10786.88,258.49,468.17,1,1.01,1.04,1,1.1,13.98,0.54,1.12,0.99,-1.78,0.89,1
